treatment_type,cost,state,clinic,provider_type,source,url,scraped_date,region,age_range
IVF_with_PGT,23623.15,NY,NY Hospital Based 6,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463898,northeast,all
IVF_with_PGT,23629.19,NY,NY Hospital Based 7,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463924,northeast,all
IVF_with_PGT,30067.09,NY,NY Private Clinic 8,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463951,northeast,all
IVF_with_PGT,29571.14,NY,NY Private Clinic 9,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.463979,northeast,all
IVF_with_PGT,33336.05,NY,NY Private Clinic 10,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464003,northeast,all
FET,5773.06,NY,NY Community Clinic 1,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464030,northeast,all
FET,6470.09,NY,NY Community Clinic 2,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464054,northeast,all
FET,4535.62,NY,NY Community Clinic 3,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464071,northeast,all
FET,6002.08,NY,NY Hospital Based 4,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464085,northeast,all
FET,6625.63,NY,NY Hospital Based 5,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464099,northeast,all
FET,6565.52,NY,NY Hospital Based 6,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464113,northeast,all
FET,6983.96,NY,NY Hospital Based 7,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464129,northeast,all
FET,8350.59,NY,NY Private Clinic 8,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464143,northeast,all
FET,8569.91,NY,NY Private Clinic 9,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464156,northeast,all
FET,6833.66,NY,NY Private Clinic 10,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464170,northeast,all
IUI,970.77,NY,NY Community Clinic 1,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464185,northeast,all
IUI,1192.75,NY,NY Community Clinic 2,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464199,northeast,all
IUI,970.08,NY,NY Community Clinic 3,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464213,northeast,all
IUI,1444.06,NY,NY Hospital Based 4,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464227,northeast,all
IUI,1352.07,NY,NY Hospital Based 5,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464241,northeast,all
IUI,1304.18,NY,NY Hospital Based 6,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464259,northeast,all
IUI,1272.07,NY,NY Hospital Based 7,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464273,northeast,all
IUI,2037.28,NY,NY Private Clinic 8,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464286,northeast,all
IUI,2041.75,NY,NY Private Clinic 9,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464307,northeast,all
IUI,1692.83,NY,NY Private Clinic 10,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464321,northeast,all
EGG_FREEZING,8107.59,NY,NY Community Clinic 1,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464335,northeast,all
EGG_FREEZING,10332.31,NY,NY Community Clinic 2,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464349,northeast,all
EGG_FREEZING,10465.05,NY,NY Community Clinic 3,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464363,northeast,all
EGG_FREEZING,11363.94,NY,NY Hospital Based 4,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464377,northeast,all
EGG_FREEZING,10001.74,NY,NY Hospital Based 5,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464391,northeast,all
EGG_FREEZING,10280.04,NY,NY Hospital Based 6,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464405,northeast,all
EGG_FREEZING,10754.51,NY,NY Hospital Based 7,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464418,northeast,all
EGG_FREEZING,11798.85,NY,NY Private Clinic 8,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464432,northeast,all
EGG_FREEZING,12986.1,NY,NY Private Clinic 9,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464446,northeast,all
EGG_FREEZING,14111.11,NY,NY Private Clinic 10,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464460,northeast,all
DONOR_EGG_IVF,22668.92,NY,NY Community Clinic 1,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464474,northeast,all
DONOR_EGG_IVF,27557.08,NY,NY Community Clinic 2,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464488,northeast,all
DONOR_EGG_IVF,25751.83,NY,NY Community Clinic 3,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464502,northeast,all
DONOR_EGG_IVF,27375.67,NY,NY Hospital Based 4,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464515,northeast,all
DONOR_EGG_IVF,30700.38,NY,NY Hospital Based 5,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464530,northeast,all
DONOR_EGG_IVF,25930.87,NY,NY Hospital Based 6,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464544,northeast,all
DONOR_EGG_IVF,25343.04,NY,NY Hospital Based 7,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464557,northeast,all
DONOR_EGG_IVF,29970.86,NY,NY Private Clinic 8,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464574,northeast,all
DONOR_EGG_IVF,32829.99,NY,NY Private Clinic 9,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464588,northeast,all
DONOR_EGG_IVF,33138.29,NY,NY Private Clinic 10,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464601,northeast,all
MEDICATIONS_IVF,4738.23,NY,NY Community Clinic 1,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464616,northeast,all
MEDICATIONS_IVF,4345.13,NY,NY Community Clinic 2,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464629,northeast,all
MEDICATIONS_IVF,4342.0,NY,NY Community Clinic 3,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464644,northeast,all
MEDICATIONS_IVF,5459.85,NY,NY Hospital Based 4,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464658,northeast,all
MEDICATIONS_IVF,4508.38,NY,NY Hospital Based 5,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464671,northeast,all
MEDICATIONS_IVF,4563.58,NY,NY Hospital Based 6,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464685,northeast,all
MEDICATIONS_IVF,4627.78,NY,NY Hospital Based 7,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464723,northeast,all
MEDICATIONS_IVF,6686.35,NY,NY Private Clinic 8,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464744,northeast,all
MEDICATIONS_IVF,5627.47,NY,NY Private Clinic 9,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464757,northeast,all
MEDICATIONS_IVF,6220.95,NY,NY Private Clinic 10,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464771,northeast,all
CONSULTATION,265.34,NY,NY Community Clinic 1,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464786,northeast,all
CONSULTATION,340.47,NY,NY Community Clinic 2,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464799,northeast,all
CONSULTATION,326.46,NY,NY Community Clinic 3,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464811,northeast,all
CONSULTATION,394.12,NY,NY Hospital Based 4,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464824,northeast,all
CONSULTATION,362.69,NY,NY Hospital Based 5,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464837,northeast,all
CONSULTATION,428.29,NY,NY Hospital Based 6,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464850,northeast,all
CONSULTATION,391.2,NY,NY Hospital Based 7,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464862,northeast,all
CONSULTATION,514.04,NY,NY Private Clinic 8,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464878,northeast,all
CONSULTATION,445.54,NY,NY Private Clinic 9,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464891,northeast,all
CONSULTATION,511.43,NY,NY Private Clinic 10,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464904,northeast,all
FERTILITY_TESTING,528.24,NY,NY Community Clinic 1,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464918,northeast,all
FERTILITY_TESTING,581.74,NY,NY Community Clinic 2,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464930,northeast,all
FERTILITY_TESTING,765.29,NY,NY Community Clinic 3,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464943,northeast,all
FERTILITY_TESTING,957.16,NY,NY Hospital Based 4,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464956,northeast,all
FERTILITY_TESTING,919.78,NY,NY Hospital Based 5,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464968,northeast,all
FERTILITY_TESTING,885.14,NY,NY Hospital Based 6,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464980,northeast,all
FERTILITY_TESTING,836.84,NY,NY Hospital Based 7,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.464993,northeast,all
FERTILITY_TESTING,1077.35,NY,NY Private Clinic 8,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465006,northeast,all
FERTILITY_TESTING,1049.22,NY,NY Private Clinic 9,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465018,northeast,all
FERTILITY_TESTING,1253.39,NY,NY Private Clinic 10,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465031,northeast,all
PGT_A,3260.01,NY,NY Community Clinic 1,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465045,northeast,all
PGT_A,3020.71,NY,NY Community Clinic 2,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465060,northeast,all
PGT_A,4310.38,NY,NY Community Clinic 3,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465073,northeast,all
PGT_A,4595.61,NY,NY Hospital Based 4,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465086,northeast,all
PGT_A,4922.5,NY,NY Hospital Based 5,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465098,northeast,all
PGT_A,4864.16,NY,NY Hospital Based 6,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465111,northeast,all
PGT_A,4312.6,NY,NY Hospital Based 7,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465127,northeast,all
PGT_A,5585.24,NY,NY Private Clinic 8,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465139,northeast,all
PGT_A,6482.74,NY,NY Private Clinic 9,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465154,northeast,all
PGT_A,6365.17,NY,NY Private Clinic 10,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465167,northeast,all
ICSI,1706.0,NY,NY Community Clinic 1,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465181,northeast,all
ICSI,2168.25,NY,NY Community Clinic 2,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465193,northeast,all
ICSI,2037.45,NY,NY Community Clinic 3,Community_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465206,northeast,all
ICSI,2513.43,NY,NY Hospital Based 4,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465219,northeast,all
ICSI,2475.94,NY,NY Hospital Based 5,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465231,northeast,all
ICSI,2435.54,NY,NY Hospital Based 6,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465244,northeast,all
ICSI,2593.51,NY,NY Hospital Based 7,Hospital_Based,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465256,northeast,all
ICSI,2801.45,NY,NY Private Clinic 8,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465269,northeast,all
ICSI,2698.78,NY,NY Private Clinic 9,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465282,northeast,all
ICSI,2551.05,NY,NY Private Clinic 10,Private_Clinic,Industry Survey Data 2024-2025,https://www.fertilityiq.com/topics/ivf-costs,2025-12-07T15:27:58.465294,northeast,all
